GSM155218.CEL.gz,GSM155220.CEL.gz,GSM155222.CEL.gz,GSM155224.CEL.gz,GSM155226.CEL.gz,GSM155219.CEL.gz,GSM155221.CEL.gz,GSM155223.CEL.gz,GSM155225.CEL.gz,GSM155227.CEL.gz
1007_s_at,9.05671054487792,8.92640837245565,8.69404956441381,8.16540826704494,8.69796063404741,8.77227926716722,8.76605829249485,8.14760885528503,8.16546566623598,8.26022241636666
1053_at,8.13558034117972,7.68315447315082,7.75715398366275,8.18977135494372,7.91237199393157,7.50075734778943,7.48774703433315,6.81989837087399,8.42169696675557,8.06064338157972
117_at,7.21246307608556,7.26868086998481,7.26545034007872,7.52280580686429,7.3779248133316,7.05410361046325,7.46245906147052,7.09746147250091,7.78790080523127,7.01949787147293
121_at,10.5233362879494,10.0986879896602,10.1386450866041,10.3870551853942,10.6406526473342,10.1080599717997,10.1707447160414,10.1871533499806,10.3001349746305,10.3398343961693
1255_g_at,5.6966746508994,5.60202967094444,6.2858358091098,6.53433405019647,6.13562417852962,5.11785360618934,5.91782574893556,6.11474290780693,6.56489688102278,6.35490382551409
1294_at,9.7481702594706,10.3056179563834,9.46660983657231,9.77556070244487,9.75800474385464,10.0045207601385,10.1748896854312,9.74717454822184,9.88267063623335,9.61761091375384
1316_at,7.98045783811028,7.74380272462724,7.9067391004041,7.91512228922913,7.6669771037635,7.48801247743322,7.68839645410394,6.9892228655169,8.14758411731503,6.93481924549824
1320_at,4.21766795645491,6.14187427943863,4.54691978762186,5.28593371584459,4.15935650920301,3.77874167835932,3.73775402643663,5.42950362879525,4.56434778966778,5.50388469253182
1405_i_at,11.9994623364073,12.5305754617449,12.0981691832139,10.8910702828757,11.8888652903806,13.4401171428742,13.3505421284732,14.1217324643104,13.6019007439262,13.7618845521496
1431_at,6.95241254267324,6.62755681291334,5.35298421342077,8.06621164026658,6.6854623434447,5.96338101278107,6.02127645399181,5.24798061134844,7.654309687883,6.03623878019853
1438_at,6.12225430778914,4.74095367730278,6.21108253486459,5.50200108489001,6.25893372857682,4.53876917683419,4.99344418608884,4.91684948610821,4.56616978495796,7.08275097646689
1487_at,8.93628517420076,8.98689881622508,8.62403452865725,8.77582958631672,8.85309506677067,8.70975801887249,8.815274153585,8.73326437377838,8.14171528378802,8.73257237887969
1494_f_at,8.66353839438415,8.58658650110635,8.54341718694457,8.20249711540924,8.50163068981647,8.05833202826725,8.41939926592802,8.40955379928373,7.23516315671577,7.9622691650018
1598_g_at,9.51096730913032,9.0624021043249,9.30128781710188,9.45603302186992,9.24816947534335,9.10722171284132,9.25636032659635,9.33606473402121,8.70634260511124,9.22321728289394
160020_at,9.49222302245179,8.66595366252189,9.1437725584964,9.09790095407104,9.41822368178416,8.70755070676392,8.74154724449168,8.63183860393781,8.72843327225217,9.0068354033923
1729_at,10.6863508691336,11.1591485641539,10.6899953794992,10.5295877255811,10.5074481462987,10.0100430081659,9.95310735069445,9.16279912956127,9.78050301299838,9.64969820563319
177_at,7.2437821163631,5.14840767087084,6.72761488408436,8.46548686783525,7.36921345067011,6.22445882244199,6.61438775716021,6.5725776467397,7.85948251929995,6.38657709437555
1773_at,6.36515743690797,7.78676636638646,7.42332380008671,7.29821447646844,7.30309552707366,7.1792815167166,7.25269863680608,6.85042703489858,7.3531306424239,7.32455006654474
179_at,10.0945921361605,9.64768221935389,9.7105783344897,9.22533123101048,9.8949429763489,9.1704058763445,9.72533572899316,9.33440454502306,9.26047383419865,9.30396768527716
1861_at,8.0364146170183,7.91296148682632,8.05424002604893,8.49907138625201,8.50934215591629,7.73730805889415,7.90684074543765,8.0559766383426,7.63762733651644,7.94244625639914
200000_s_at,10.8153621280909,10.7844370362304,10.4670269158011,10.139328875845,10.4729724051686,10.8651582517153,10.8678556301661,10.4476014608626,10.3783551351251,10.4376306138349
200001_at,12.0253987833287,12.2990402069942,11.7006095092714,11.4844773325718,11.5297714260579,12.1690678712658,12.3316336793,12.5461193911287,11.6960269436414,11.7417418400055
