GSM155219.CEL.gz,GSM155221.CEL.gz,GSM155223.CEL.gz,GSM155225.CEL.gz,GSM155227.CEL.gz,GSM155190.CEL.gz,GSM155195.CEL.gz,GSM155201.CEL.gz,GSM155203.CEL.gz,GSM155206.CEL.gz
1007_s_at,8.77227926716722,8.76605829249485,8.14760885528503,8.16546566623598,8.26022241636666,8.23375068152998,8.83091499021688,8.64769896220842,7.51660632585916,8.54860810417664
1053_at,7.50075734778943,7.48774703433315,6.81989837087399,8.42169696675557,8.06064338157972,7.90059686576283,7.93401219355595,8.06001399639656,8.59867844465086,7.61969447394151
117_at,7.05410361046325,7.46245906147052,7.09746147250091,7.78790080523127,7.01949787147293,6.65602272496349,7.18348239138512,7.29907431231755,7.97002325107661,7.05751027979347
121_at,10.1080599717997,10.1707447160414,10.1871533499806,10.3001349746305,10.3398343961693,10.2971711834862,10.1931010692654,10.1055944303614,10.5051961229324,10.0059094124924
1255_g_at,5.11785360618934,5.91782574893556,6.11474290780693,6.56489688102278,6.35490382551409,5.35874367254721,5.92852056092161,6.10891343788176,6.90396629316901,5.08845718259844
1294_at,10.0045207601385,10.1748896854312,9.74717454822184,9.88267063623335,9.61761091375384,9.70565642645403,10.1520408501177,9.92276544183818,9.6382651819631,10.0940444534877
1316_at,7.48801247743322,7.68839645410394,6.9892228655169,8.14758411731503,6.93481924549824,6.71925140095154,7.21106710506152,6.8846447978096,8.37504065356846,8.05173781835804
1320_at,3.77874167835932,3.73775402643663,5.42950362879525,4.56434778966778,5.50388469253182,2.87181928454892,4.23956853733769,4.38043684849948,5.1762495118458,4.66363155035282
1405_i_at,13.4401171428742,13.3505421284732,14.1217324643104,13.6019007439262,13.7618845521496,14.1770780930151,13.8422818195194,14.2217869749559,13.8434955919134,14.0609345035804
1431_at,5.96338101278107,6.02127645399181,5.24798061134844,7.654309687883,6.03623878019853,6.09770814149848,6.60170657846009,6.2740375702382,7.98893730128471,6.21505369989818
1438_at,4.53876917683419,4.99344418608884,4.91684948610821,4.56616978495796,7.08275097646689,5.67543671555624,7.13311646584801,5.26729907757497,5.03204835951069,4.90556783451027
1487_at,8.70975801887249,8.815274153585,8.73326437377838,8.14171528378802,8.73257237887969,8.50481006180508,8.51242410552951,8.59811892956609,8.70723639785441,8.59966098516381
1494_f_at,8.05833202826725,8.41939926592802,8.40955379928373,7.23516315671577,7.9622691650018,8.16727863388153,8.12541458368708,8.04467159103738,8.18410719468868,7.83335478795981
1598_g_at,9.10722171284132,9.25636032659635,9.33606473402121,8.70634260511124,9.22321728289394,9.06603487117214,9.20841004805449,8.95706415951095,9.25060389394688,8.55549831520416
160020_at,8.70755070676392,8.74154724449168,8.63183860393781,8.72843327225217,9.0068354033923,8.83351608825931,9.16841494420563,8.85325908163754,8.96098417546625,8.26424705310548
1729_at,10.0100430081659,9.95310735069445,9.16279912956127,9.78050301299838,9.64969820563319,10.9006024857858,9.82146190595467,10.034810067815,9.47183414511837,10.601106221663
177_at,6.22445882244199,6.61438775716021,6.5725776467397,7.85948251929995,6.38657709437555,6.38093112321273,6.18966910279133,5.56409589555668,8.05387370233917,5.80787687393123
1773_at,7.1792815167166,7.25269863680608,6.85042703489858,7.3531306424239,7.32455006654474,6.53080655649438,6.96723545252231,7.00400466809876,6.02301641608971,7.00684198263013
179_at,9.1704058763445,9.72533572899316,9.33440454502306,9.26047383419865,9.30396768527716,9.47867140293462,9.65392563567911,9.51385886802725,9.5454114554852,9.46056242407776
1861_at,7.73730805889415,7.90684074543765,8.0559766383426,7.63762733651644,7.94244625639914,7.70762908867658,8.76218918660031,7.78429324158055,8.29862092173552,8.173339556518
200000_s_at,10.8651582517153,10.8678556301661,10.4476014608626,10.3783551351251,10.4376306138349,9.64732472868561,10.4153614360688,10.2221563955586,9.77658657737318,10.3161264781182
