GSM155189.CEL.gz,GSM155192.CEL.gz,GSM155200.CEL.gz,GSM155202.CEL.gz,GSM155204.CEL.gz,GSM155190.CEL.gz,GSM155195.CEL.gz,GSM155201.CEL.gz,GSM155203.CEL.gz,GSM155206.CEL.gz
1007_s_at,8.67955398658893,8.50193137506073,8.55254060432157,8.51195086941561,8.42537743286268,8.23375068152998,8.83091499021688,8.64769896220842,7.51660632585916,8.54860810417664
1053_at,7.50485986646792,8.29021226079841,8.20037486275276,8.54801275691363,7.71931747446606,7.90059686576283,7.93401219355595,8.06001399639656,8.59867844465086,7.61969447394151
117_at,6.99908612129393,7.49316922850345,7.58770140196903,7.70629010473082,6.47058783777917,6.65602272496349,7.18348239138512,7.29907431231755,7.97002325107661,7.05751027979347
121_at,10.4942908864417,10.3990974910443,10.4112982210169,10.3963754733416,10.1553587635495,10.2971711834862,10.1931010692654,10.1055944303614,10.5051961229324,10.0059094124924
1255_g_at,6.1020687233804,6.20120484839594,7.00842385111897,5.7139843632149,5.59415606513272,5.35874367254721,5.92852056092161,6.10891343788176,6.90396629316901,5.08845718259844
1294_at,9.57515019386738,10.2383554706772,9.96203216372262,9.71203178156963,9.61837912692162,9.70565642645403,10.1520408501177,9.92276544183818,9.6382651819631,10.0940444534877
1316_at,7.64716527676612,7.29160099081708,7.96428291026269,7.64752234392472,7.19575701651363,6.71925140095154,7.21106710506152,6.8846447978096,8.37504065356846,8.05173781835804
1320_at,4.63206071809578,3.80470672765328,4.68391956157364,4.67481793158351,4.33538516591465,2.87181928454892,4.23956853733769,4.38043684849948,5.1762495118458,4.66363155035282
1405_i_at,11.7565760741388,11.9000417032959,12.3351863416676,10.6573637890576,11.6503934385441,14.1770780930151,13.8422818195194,14.2217869749559,13.8434955919134,14.0609345035804
1431_at,6.44711911084608,6.9661949993897,7.04058552047775,7.54196322301641,6.4211594379957,6.09770814149848,6.60170657846009,6.2740375702382,7.98893730128471,6.21505369989818
1438_at,5.32355210831737,7.31090076725845,6.74840666835915,4.52467283360612,6.38092692174056,5.67543671555624,7.13311646584801,5.26729907757497,5.03204835951069,4.90556783451027
1487_at,8.31069137071224,8.51270712836589,8.96024260531839,8.21895872196317,8.82600751357234,8.50481006180508,8.51242410552951,8.59811892956609,8.70723639785441,8.59966098516381
1494_f_at,8.84021098853047,7.93625886883702,8.96336783521223,7.51557832859407,8.2258740892393,8.16727863388153,8.12541458368708,8.04467159103738,8.18410719468868,7.83335478795981
1598_g_at,9.34278706387418,9.18140944850366,9.74696961993744,9.07258213478442,9.38151498172564,9.06603487117214,9.20841004805449,8.95706415951095,9.25060389394688,8.55549831520416
160020_at,8.88344981677455,8.85927689105983,9.47308171943886,8.78400742021109,8.79535626907516,8.83351608825931,9.16841494420563,8.85325908163754,8.96098417546625,8.26424705310548
