GSM155219.CEL.gz,GSM155221.CEL.gz,GSM155223.CEL.gz,GSM155225.CEL.gz,GSM155227.CEL.gz,GSM155179.CEL.gz,GSM155181.CEL.gz,GSM155183.CEL.gz,GSM155185.CEL.gz,GSM155187.CEL.gz
1007_s_at,8.77227926716722,8.76605829249485,8.14760885528503,8.16546566623598,8.26022241636666,7.91574339382988,8.31302586185573,7.92923948899684,8.42364855194488,8.58878160406667
1053_at,7.50075734778943,7.48774703433315,6.81989837087399,8.42169696675557,8.06064338157972,8.21025456749331,8.41699951139362,8.18598877201426,7.65418277039443,7.7069691699847
117_at,7.05410361046325,7.46245906147052,7.09746147250091,7.78790080523127,7.01949787147293,7.31430288572218,7.34225040731125,7.44012339257578,7.19788163653655,7.10880111031659
121_at,10.1080599717997,10.1707447160414,10.1871533499806,10.3001349746305,10.3398343961693,9.76582024913043,10.27843271374,10.1345901439313,10.7017275360313,10.4357630712691
1255_g_at,5.11785360618934,5.91782574893556,6.11474290780693,6.56489688102278,6.35490382551409,3.36883983019901,5.65339986489959,4.92965906707347,4.50449639822141,5.69719293985361
1294_at,10.0045207601385,10.1748896854312,9.74717454822184,9.88267063623335,9.61761091375384,10.3239585199443,9.73083080478592,10.0822352279307,9.06458515301415,9.76452775883646
1316_at,7.48801247743322,7.68839645410394,6.9892228655169,8.14758411731503,6.93481924549824,7.12260943769135,7.12650583787744,7.40318660611131,6.77598896326391,7.22511747836879
1320_at,3.77874167835932,3.73775402643663,5.42950362879525,4.56434778966778,5.50388469253182,3.43981769884957,5.51621313343529,4.42693021698172,4.18531012322603,3.80048222523943
1405_i_at,13.4401171428742,13.3505421284732,14.1217324643104,13.6019007439262,13.7618845521496,13.7414957787964,13.3092408877615,13.3206869778154,14.4471081838447,13.0233226011534
1431_at,5.96338101278107,6.02127645399181,5.24798061134844,7.654309687883,6.03623878019853,5.66262482728949,5.46890989685009,6.31549646687199,5.89965731325049,5.68084060356924
1438_at,4.53876917683419,4.99344418608884,4.91684948610821,4.56616978495796,7.08275097646689,4.07431625297129,4.93141263876873,5.24943029893033,6.38528856109665,6.22500691056879
1487_at,8.70975801887249,8.815274153585,8.73326437377838,8.14171528378802,8.73257237887969,8.58127961867453,8.4609470612548,8.94038640358785,8.32796654184489,8.71161644898907
1494_f_at,8.05833202826725,8.41939926592802,8.40955379928373,7.23516315671577,7.9622691650018,7.48019529652445,7.69992913875654,8.00846422820692,8.19152762959094,8.31674582096817
1598_g_at,9.10722171284132,9.25636032659635,9.33606473402121,8.70634260511124,9.22321728289394,8.75939355644445,9.10689833013922,8.89115016338034,9.73394925034002,9.1595559041378
160020_at,8.70755070676392,8.74154724449168,8.63183860393781,8.72843327225217,9.0068354033923,8.33291146389332,9.02591952165382,9.19935976806313,9.11455421545173,9.02822234919368
1729_at,10.0100430081659,9.95310735069445,9.16279912956127,9.78050301299838,9.64969820563319,10.0560130261048,9.34833654509152,10.696812208621,10.3281547730352,9.51307907446339
177_at,6.22445882244199,6.61438775716021,6.5725776467397,7.85948251929995,6.38657709437555,5.81073739129212,4.92989772717889,6.84958768730417,6.19264082930617,5.993960684895
1773_at,7.1792815167166,7.25269863680608,6.85042703489858,7.3531306424239,7.32455006654474,6.83762062819712,7.26311409881283,6.80029190715271,7.64502991949098,7.14298491563473
179_at,9.1704058763445,9.72533572899316,9.33440454502306,9.26047383419865,9.30396768527716,9.28404489420695,9.34080013975442,9.52411744554658,9.30537475116343,9.6463083249807
1861_at,7.73730805889415,7.90684074543765,8.0559766383426,7.63762733651644,7.94244625639914,7.98056450207567,7.89887988105562,8.29147675265421,7.88172535710131,7.90767748050678
200000_s_at,10.8651582517153,10.8678556301661,10.4476014608626,10.3783551351251,10.4376306138349,10.8557804372653,10.0324352862137,10.83666790334,9.57691712801937,10.5267697207267
200001_at,12.1690678712658,12.3316336793,12.5461193911287,11.6960269436414,11.7417418400055,12.1379808432727,12.0855868115559,12.1774069999777,12.1624363860369,11.960703809407
200002_at,13.7940776887254,13.6648490561604,13.9849979764416,13.6788647482547,14.1543515331853,13.7995124429863,13.5140946037988,13.9758137695668,13.895856150193,12.9888654988722
200003_s_at,14.2827435859127,14.3516813486506,14.8084808258273,14.4613387686786,14.7853898187643,14.5662577779188,14.3103357011335,14.9758405499804,15.0925842792699,13.6601120513291
200004_at,13.1027965882517,13.0872034442079,13.1063976524951,13.0140180209507,13.2034763471248,13.0590763481338,12.7603985337568,12.7984068624981,13.5862057768693,12.9115949357349
