GSM154936.CEL.gz,GSM155180.CEL.gz,GSM155182.CEL.gz,GSM155184.CEL.gz,GSM155186.CEL.gz,GSM155179.CEL.gz,GSM155181.CEL.gz,GSM155183.CEL.gz,GSM155185.CEL.gz,GSM155187.CEL.gz
1007_s_at,8.42487027576089,8.35011938178859,8.15353880590742,8.54878101895427,8.55610153216675,7.91574339382988,8.31302586185573,7.92923948899684,8.42364855194488,8.58878160406667
1053_at,8.314894921475,8.60244668134099,8.30066166518457,8.01417584588642,7.75076844392125,8.21025456749331,8.41699951139362,8.18598877201426,7.65418277039443,7.7069691699847
117_at,7.41401836771648,6.46834624592583,7.30434935719713,7.17679433018917,6.44798370258938,7.31430288572218,7.34225040731125,7.44012339257578,7.19788163653655,7.10880111031659
121_at,10.0050301877005,10.3960783601864,10.1688875608754,10.9527849322641,10.156316041739,9.76582024913043,10.27843271374,10.1345901439313,10.7017275360313,10.4357630712691
1255_g_at,6.14097294534808,6.49015434931012,5.15322516556059,6.88486357339203,5.36834350724079,3.36883983019901,5.65339986489959,4.92965906707347,4.50449639822141,5.69719293985361
1294_at,9.95719905344991,9.47188049203203,9.71002805908758,9.45698264218449,10.0117278831313,10.3239585199443,9.73083080478592,10.0822352279307,9.06458515301415,9.76452775883646
1316_at,7.67259124846385,7.88228946391476,7.31496700641881,7.64191901348842,6.87868724025043,7.12260943769135,7.12650583787744,7.40318660611131,6.77598896326391,7.22511747836879
1320_at,4.22568736526219,4.09204090601133,3.8690278442691,4.64013706553763,5.21948753473455,3.43981769884957,5.51621313343529,4.42693021698172,4.18531012322603,3.80048222523943
1405_i_at,11.2447496830138,11.3142601025285,11.3920576279683,10.0690281649983,11.218626445548,13.7414957787964,13.3092408877615,13.3206869778154,14.4471081838447,13.0233226011534
1431_at,5.97215254237403,6.61237698538437,6.25536858172959,6.44005334554923,5.79244968235976,5.66262482728949,5.46890989685009,6.31549646687199,5.89965731325049,5.68084060356924
1438_at,4.72328513151478,6.33416385641657,5.82312958882375,7.65586079212074,5.2622015971186,4.07431625297129,4.93141263876873,5.24943029893033,6.38528856109665,6.22500691056879
1487_at,8.96405878996955,8.41937214576236,8.53399891909531,8.99716786207246,8.71243402435221,8.58127961867453,8.4609470612548,8.94038640358785,8.32796654184489,8.71161644898907
1494_f_at,7.85022067705459,8.47888552871688,8.05820272393438,8.64998206524955,8.08959870207248,7.48019529652445,7.69992913875654,8.00846422820692,8.19152762959094,8.31674582096817
1598_g_at,9.27597404853751,9.25092626393362,8.99217539036106,9.44605777922985,9.04646812247124,8.75939355644445,9.10689833013922,8.89115016338034,9.73394925034002,9.1595559041378
160020_at,9.13489411295766,8.98515490157697,8.79332444137998,9.44152067991048,8.45919633066277,8.33291146389332,9.02591952165382,9.19935976806313,9.11455421545173,9.02822234919368
1729_at,11.2257719718961,10.9528574954554,11.2473649692595,10.6426906385078,11.3534094935353,10.0560130261048,9.34833654509152,10.696812208621,10.3281547730352,9.51307907446339
177_at,7.25811349318524,7.46679131228207,6.33921560572133,6.85330145251838,5.93920720381117,5.81073739129212,4.92989772717889,6.84958768730417,6.19264082930617,5.993960684895
1773_at,6.88742747648187,7.18320267541395,7.07448216115549,7.34511533035814,7.16225847210799,6.83762062819712,7.26311409881283,6.80029190715271,7.64502991949098,7.14298491563473
179_at,9.419213203415,9.55171405565839,9.14131595929959,9.91557255707278,9.63530420741995,9.28404489420695,9.34080013975442,9.52411744554658,9.30537475116343,9.6463083249807
1861_at,8.41121644215594,7.94581790252931,8.13001528401375,8.04467374644028,7.82394897541262,7.98056450207567,7.89887988105562,8.29147675265421,7.88172535710131,7.90767748050678
200000_s_at,10.9821233217448,10.5779441479293,10.7175545043669,10.6847870338648,10.6896090301481,10.8557804372653,10.0324352862137,10.83666790334,9.57691712801937,10.5267697207267
200001_at,12.0567418052154,11.4862273395235,12.0623711278613,11.2073804284549,11.9770951252016,12.1379808432727,12.0855868115559,12.1774069999777,12.1624363860369,11.960703809407
200002_at,13.6499175665912,13.6040955113721,14.1965665992434,14.1104688699127,13.711398641821,13.7995124429863,13.5140946037988,13.9758137695668,13.895856150193,12.9888654988722
200003_s_at,14.3296602538754,14.3019760014755,14.8518551197874,15.0947320955992,14.3657762880119,14.5662577779188,14.3103357011335,14.9758405499804,15.0925842792699,13.6601120513291
200004_at,12.9940022983349,12.7114061641003,12.9886389647561,13.5660457897843,13.0404965351499,13.0590763481338,12.7603985337568,12.7984068624981,13.5862057768693,12.9115949357349
200005_at,12.0970386680306,12.0616489526422,12.4976247054236,11.4697318423219,12.1151760028855,12.4220336874876,12.3070304204248,12.5543270609664,11.9151834550371,11.8748135021792
200006_at,12.697224327249,12.7594512161796,13.0369713484972,12.0886143209425,12.7405001616872,13.0449233405838,13.3193566894507,13.2569387452771,12.9250512936586,12.9037088793257
200007_at,12.7318780466949,12.8203460400935,12.8228584546068,12.6669868879988,12.6969337746627,12.8342459579484,12.7645437755517,12.938521108107,13.1770532796875,12.5422884808242
200008_s_at,10.9755416514799,11.0377129816726,11.6425325579665,10.5890281350338,10.8940749739838,10.8869234580903,11.8289906566559,11.3379079845665,11.201920303772,11.1203172742644
200009_at,12.3088562235084,12.1519812204605,12.6895170430965,12.7453631818157,12.2775394220447,12.5204179589026,12.7879780254397,12.6824222247631,13.0488121545822,12.1936614417099
200010_at,13.6846778850659,13.8501274577158,14.1222140399671,14.258692650394,13.849432250724,13.6943345224143,13.3865947989146,14.0913524941174,14.0224316508409,13.2221876440074
200011_s_at,10.8569968045229,10.3288824745709,10.2479122236454,10.0128790791592,10.7831443972485,10.9579579209772,10.8076523556936,10.4284949186494,10.8411948674871,10.9718591786932
200012_x_at,13.703161206063,13.7760053784106,14.1302826510987,14.7927102374902,13.7876884157806,14.1170431205534,13.6709414671386,14.3273772015274,14.8482315747323,13.0130648483683
200013_at,13.7005261229406,13.8729957753589,14.3502013515151,14.2175807178552,13.8074079788195,13.7589446310379,13.7149149817066,14.3255957420301,13.9032802136511,13.2722134936749
