GSM155229.CEL.gz,GSM155232.CEL.gz,GSM155234.CEL.gz,GSM155236.CEL.gz,GSM155238.CEL.gz,GSM155179.CEL.gz,GSM155181.CEL.gz,GSM155183.CEL.gz,GSM155185.CEL.gz,GSM155187.CEL.gz
1007_s_at,8.33375448894284,8.64447934351525,8.64579244504389,8.50357138981714,8.74856146554897,7.91574339382988,8.31302586185573,7.92923948899684,8.42364855194488,8.58878160406667
1053_at,7.29357914159718,7.0759672606608,7.63802632977251,7.54369462089846,7.72155647674611,8.21025456749331,8.41699951139362,8.18598877201426,7.65418277039443,7.7069691699847
117_at,7.36686130113191,7.11557005576329,8.03559494666652,6.37198696602354,6.94217066648487,7.31430288572218,7.34225040731125,7.44012339257578,7.19788163653655,7.10880111031659
121_at,10.0606295454472,10.3024544527159,10.3625151668794,10.3355955142148,10.2920499327349,9.76582024913043,10.27843271374,10.1345901439313,10.7017275360313,10.4357630712691
1255_g_at,5.63460194618461,5.59539795933483,3.95432118265471,6.15005464814368,6.22249568940936,3.36883983019901,5.65339986489959,4.92965906707347,4.50449639822141,5.69719293985361
1294_at,9.99428940342415,10.3253785037367,9.90105871504436,9.75325651443568,9.4755284402777,10.3239585199443,9.73083080478592,10.0822352279307,9.06458515301415,9.76452775883646
1316_at,7.42575953453808,7.11871164386005,7.41761866316504,7.4397594276719,7.52300543381937,7.12260943769135,7.12650583787744,7.40318660611131,6.77598896326391,7.22511747836879
1320_at,5.73649458767534,4.6520571057585,4.67281081476365,4.23737097518111,5.58670012755651,3.43981769884957,5.51621313343529,4.42693021698172,4.18531012322603,3.80048222523943
1405_i_at,13.9074999427955,12.8528350320798,13.7394836397458,13.9297860860169,12.907934968913,13.7414957787964,13.3092408877615,13.3206869778154,14.4471081838447,13.0233226011534
1431_at,6.56736834974036,6.40799588018081,6.7721872262257,6.57719336053243,6.50626298002709,5.66262482728949,5.46890989685009,6.31549646687199,5.89965731325049,5.68084060356924
1438_at,6.35274949958589,5.47101541524692,6.70447078965545,4.27491682795958,4.85027435126771,4.07431625297129,4.93141263876873,5.24943029893033,6.38528856109665,6.22500691056879
1487_at,8.36289749572331,8.92025661976932,8.69175697276699,8.59353127406831,8.35810433410942,8.58127961867453,8.4609470612548,8.94038640358785,8.32796654184489,8.71161644898907
1494_f_at,8.01108558969548,8.36582215442962,8.38259289762593,8.29275379276787,8.36273877957587,7.48019529652445,7.69992913875654,8.00846422820692,8.19152762959094,8.31674582096817
1598_g_at,8.93469411918862,8.84842532915115,9.30475602506049,9.24078316682928,9.09929292745527,8.75939355644445,9.10689833013922,8.89115016338034,9.73394925034002,9.1595559041378
160020_at,8.47289678476776,8.56543202902111,9.39234808087187,8.71353264506647,8.94151960665564,8.33291146389332,9.02591952165382,9.19935976806313,9.11455421545173,9.02822234919368
1729_at,10.1337336254959,9.7945075758031,9.91303924304834,9.74053654415751,9.61847961570321,10.0560130261048,9.34833654509152,10.696812208621,10.3281547730352,9.51307907446339
177_at,6.141763405519,6.01162504562173,7.47168353313422,6.96021672385018,6.31433730977768,5.81073739129212,4.92989772717889,6.84958768730417,6.19264082930617,5.993960684895
1773_at,6.99988780348314,7.50314882056483,6.63603427119665,5.80686862525033,6.55333975880046,6.83762062819712,7.26311409881283,6.80029190715271,7.64502991949098,7.14298491563473
179_at,9.51325065216844,9.89339480366259,9.82437071197523,9.92683134460936,9.45173819198897,9.28404489420695,9.34080013975442,9.52411744554658,9.30537475116343,9.6463083249807
1861_at,8.11686319180099,8.0480962281615,7.86563378428838,8.071317501834,8.06623393441795,7.98056450207567,7.89887988105562,8.29147675265421,7.88172535710131,7.90767748050678
200000_s_at,10.9502317065921,11.0401693554295,10.8923360890822,10.4038842749892,10.8105468220788,10.8557804372653,10.0324352862137,10.83666790334,9.57691712801937,10.5267697207267
200001_at,11.7074395209744,12.0323775698879,12.0789423207015,12.1610677827803,11.5795681278313,12.1379808432727,12.0855868115559,12.1774069999777,12.1624363860369,11.960703809407
200002_at,14.118714440333,13.8666822169438,14.2814722779397,14.3512554642215,14.3680522329162,13.7995124429863,13.5140946037988,13.9758137695668,13.895856150193,12.9888654988722
200003_s_at,14.6957016037444,14.6149693910089,14.87384276627,15.0106332770552,14.9391900047234,14.5662577779188,14.3103357011335,14.9758405499804,15.0925842792699,13.6601120513291
200004_at,13.131650350091,12.9084399293796,13.2189535658745,12.950952239547,13.1673234288591,13.0590763481338,12.7603985337568,12.7984068624981,13.5862057768693,12.9115949357349
200005_at,12.3278366821682,12.7282517717914,12.487297079083,12.3718989137872,12.5023463039307,12.4220336874876,12.3070304204248,12.5543270609664,11.9151834550371,11.8748135021792
200006_at,12.7291262914555,12.7514842930818,12.7486432786816,12.7111547483267,12.7451991241509,13.0449233405838,13.3193566894507,13.2569387452771,12.9250512936586,12.9037088793257
200007_at,12.5875801498657,12.7242802480515,13.0794147784846,13.1005119570509,13.1185886992043,12.8342459579484,12.7645437755517,12.938521108107,13.1770532796875,12.5422884808242
200008_s_at,10.9332706019829,10.8160159691306,10.7785003023426,10.7853784250699,10.5694613230197,10.8869234580903,11.8289906566559,11.3379079845665,11.201920303772,11.1203172742644
200009_at,12.147074751542,12.2906728178135,12.2373649416069,12.1489287062351,12.1126155048814,12.5204179589026,12.7879780254397,12.6824222247631,13.0488121545822,12.1936614417099
200010_at,13.6173021644751,13.7038726663932,14.1942767644033,14.3439085064983,14.4017461378143,13.6943345224143,13.3865947989146,14.0913524941174,14.0224316508409,13.2221876440074
200011_s_at,11.0791014733934,11.0536189377842,10.5721527875281,10.9449554892774,10.3864611007666,10.9579579209772,10.8076523556936,10.4284949186494,10.8411948674871,10.9718591786932
200012_x_at,14.3363211188151,13.9540636747504,14.4637363352242,14.8100982003341,14.6431011339257,14.1170431205534,13.6709414671386,14.3273772015274,14.8482315747323,13.0130648483683
200013_at,14.0179708663835,14.0036313865484,14.3038204238045,14.3884712578207,14.5122103617281,13.7589446310379,13.7149149817066,14.3255957420301,13.9032802136511,13.2722134936749
